11:14:54.658 [main] INFO  HelloWorld - Hello, World!
11:14:54.662 [main] DEBUG HelloWorld - Debug
11:14:54.662 [main] WARN  HelloWorld - Warn
11:35:29.323 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.560 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.568 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
11:39:07.569 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 16:03:10,141 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:03:10,145 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:03:10,146 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:03:10,147 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 16:03:59,079 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:03:59,084 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:03:59,085 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:03:59,085 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
28 Mar 2019 16:03:59,086 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:03:59,087 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 16:04:23,033 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:04:23,039 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:04:23,040 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:04:23,041 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - class ru.sfedu.computervisionlab.Constants$OSType  lol
28 Mar 2019 16:04:23,041 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:04:23,042 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 16:05:33,750 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 16:05:33,756 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 16:05:33,757 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 16:05:33,758 [main] DEBUG ru.sfedu.computervisionlab.api.ImageApi - LINUX  lol
